"","year","month","day","carrier","origin","dest","late"
"92",2013,6,2,"UA","EWR","FLL","late"
"93",2013,7,4,"AA","LGA","MIA","early"
"94",2013,8,1,"US","JFK","CLT","early"
"95",2013,6,20,"EV","EWR","RDU","late"
"96",2013,1,30,"EV","EWR","BUF","on time"
"97",2013,6,30,"AA","JFK","IAH","late"
"98",2013,12,30,"WN","LGA","MDW","late"
"99",2013,7,17,"B6","JFK","TPA","early"
"100",2013,11,7,"WN","LGA","BNA","late"
"101",2013,5,1,"DL","JFK","SJU","early"
"102",2013,11,21,"UA","EWR","DEN","early"
"103",2013,10,3,"AA","EWR","DFW","early"
"104",2013,6,9,"UA","EWR","LAX","late"
"105",2013,6,11,"AA","LGA","MIA","on time"
"106",2013,4,12,"AA","LGA","DFW","late"
"107",2013,6,2,"B6","JFK","JAX","early"
"108",2013,12,11,"AA","EWR","DFW","late"
"109",2013,10,11,"9E","LGA","IND","late"
"110",2013,9,16,"UA","EWR","LAS","on time"
"111",2013,7,24,"EV","EWR","ATL","early"
"112",2013,4,30,"FL","LGA","ATL","early"
"113",2013,3,2,"B6","EWR","MCO","on time"
"114",2013,5,5,"MQ","JFK","RDU","late"
"115",2013,11,26,"AA","JFK","LAX","early"
"116",2013,8,20,"UA","EWR","BOS","early"
"117",2013,12,30,"B6","JFK","SFO","late"
"118",2013,4,27,"UA","EWR","MCO","on time"
"119",2013,5,7,"EV","EWR","TYS","late"
"120",2013,8,24,"MQ","EWR","ORD","early"
"121",2013,7,9,"WN","EWR","STL","late"
"122",2013,12,15,"UA","EWR","PBI","late"
"123",2013,7,21,"B6","JFK","BUF","early"
"124",2013,8,22,"EV","EWR","CLT","late"
"125",2013,4,16,"DL","LGA","DTW","early"
"126",2013,2,7,"MQ","JFK","IND","early"
"127",2013,2,1,"UA","EWR","CLE","early"
"128",2013,11,12,"AA","LGA","DFW","late"
"129",2013,9,8,"EV","EWR","TUL","early"
"130",2013,12,24,"UA","EWR","JAC","late"
"131",2013,8,9,"UA","EWR","FLL","early"
"132",2013,3,14,"MQ","LGA","CLT","early"
"133",2013,9,11,"WN","LGA","STL","late"
"134",2013,6,12,"DL","LGA","ATL","early"
"135",2013,3,31,"9E","JFK","DTW","early"
"136",2013,2,7,"DL","JFK","SEA","early"
"137",2013,1,4,"B6","JFK","SFO","early"
"138",2013,10,25,"EV","LGA","ROC","late"
"139",2013,2,7,"B6","JFK","RSW","late"
"140",2013,11,24,"AA","LGA","MIA","early"
"141",2013,3,24,"UA","EWR","LAX","early"
"142",2013,2,15,"WN","LGA","BNA","on time"
"143",2013,9,17,"UA","EWR","DFW","early"
"144",2013,10,31,"DL","LGA","FLL","on time"
"145",2013,6,13,"9E","JFK","MSP","late"
"146",2013,11,19,"MQ","JFK","BNA","early"
"147",2013,3,13,"EV","EWR","DCA","late"
"148",2013,9,17,"UA","JFK","LAX","early"
"149",2013,8,18,"B6","LGA","FLL","early"
"150",2013,3,5,"DL","JFK","LAX","late"
"151",2013,1,8,"AA","JFK","LAX","early"
"152",2013,4,25,"B6","JFK","RSW","early"
"153",2013,10,18,"EV","EWR","ATL","late"
"154",2013,3,18,"9E","JFK","BOS","on time"
"155",2013,2,11,"B6","JFK","RSW","late"
"156",2013,4,1,"EV","EWR","DCA","early"
"157",2013,2,28,"9E","JFK","BWI","early"
"158",2013,10,4,"UA","JFK","LAX","early"
"159",2013,4,8,"AA","JFK","LAX","on time"
"160",2013,9,20,"UA","LGA","ORD","early"
"161",2013,11,17,"B6","JFK","FLL","late"
"162",2013,11,10,"MQ","LGA","RDU","late"
"163",2013,6,9,"US","LGA","CLT","early"
"164",2013,5,18,"DL","JFK","SAT","early"
"165",2013,11,13,"DL","LGA","ATL","late"
"166",2013,1,16,"DL","JFK","ATL","on time"
"167",2013,10,3,"UA","EWR","LAS","late"
"168",2013,10,26,"AA","JFK","MIA","early"
"169",2013,1,30,"EV","EWR","DTW","on time"
"170",2013,1,15,"EV","EWR","STL","late"
"171",2013,11,28,"MQ","LGA","ATL","on time"
"172",2013,10,23,"DL","JFK","LAS","early"
"173",2013,1,1,"MQ","LGA","CRW","late"
"174",2013,4,23,"DL","LGA","MCO","late"
"175",2013,9,26,"UA","EWR","LAX","early"
"176",2013,1,6,"B6","JFK","BOS","on time"
"177",2013,12,11,"B6","JFK","BUR","early"
"178",2013,5,31,"UA","EWR","IAH","early"
"179",2013,10,27,"DL","JFK","FLL","early"
"180",2013,1,8,"DL","LGA","MIA","late"
"181",2013,9,30,"DL","JFK","SLC","early"
"182",2013,9,30,"UA","EWR","CLE","early"
"183",2013,3,5,"UA","EWR","IAH","late"
"184",2013,11,12,"DL","LGA","TPA","late"
"185",2013,11,23,"EV","EWR","IAD","early"
"186",2013,1,25,"AA","JFK","ORD","late"
"187",2013,9,14,"B6","JFK","CHS","on time"
"188",2013,10,26,"UA","LGA","IAH","on time"
"189",2013,5,17,"UA","EWR","MIA","on time"
"190",2013,1,24,"EV","EWR","RIC","early"
"191",2013,3,24,"UA","EWR","FLL","late"
"192",2013,7,4,"WN","EWR","DEN","early"
"193",2013,8,21,"UA","EWR","SAN","early"
"194",2013,7,25,"MQ","LGA","XNA","on time"
"195",2013,11,14,"B6","JFK","BUF","early"
"196",2013,3,3,"MQ","JFK","RDU","on time"
"197",2013,8,28,"AA","JFK","MIA","early"
"198",2013,10,10,"UA","JFK","SFO","early"
"199",2013,10,9,"UA","EWR","ORD","late"
"200",2013,11,15,"UA","LGA","DEN","late"
"201",2013,3,2,"B6","EWR","FLL","late"
"202",2013,1,5,"B6","JFK","FLL","early"
"203",2013,12,15,"EV","EWR","ATL","on time"
"204",2013,4,21,"EV","EWR","BNA","late"
"205",2013,5,31,"US","LGA","BOS","early"
"206",2013,9,9,"9E","JFK","BWI","early"
"207",2013,1,24,"B6","JFK","JAX","on time"
"208",2013,1,11,"UA","EWR","TPA","early"
"209",2013,5,27,"EV","EWR","PWM","late"
"210",2013,2,7,"UA","JFK","LAX","on time"
"211",2013,3,26,"DL","LGA","MEM","early"
"212",2013,2,15,"UA","EWR","SAT","late"
"213",2013,7,18,"UA","LGA","IAH","early"
"214",2013,8,24,"EV","EWR","CVG","early"
"215",2013,3,22,"MQ","LGA","BNA","early"
"216",2013,8,9,"AA","JFK","BOS","late"
"217",2013,9,8,"B6","JFK","PBI","early"
"218",2013,3,31,"VX","JFK","LAX","early"
"219",2013,8,20,"UA","EWR","ORD","on time"
"220",2013,11,11,"9E","JFK","BWI","early"
"221",2013,12,4,"WN","EWR","MDW","on time"
"222",2013,12,2,"AA","LGA","MIA","early"
"223",2013,7,30,"B6","JFK","SJU","early"
"224",2013,10,28,"AA","JFK","MIA","early"
"225",2013,3,11,"DL","JFK","SAT","on time"
"226",2013,7,24,"B6","LGA","SRQ","early"
"227",2013,5,19,"DL","LGA","MIA","early"
"228",2013,8,2,"US","EWR","PHX","late"
"229",2013,2,15,"DL","LGA","MEM","early"
"230",2013,12,1,"MQ","JFK","DCA","late"
"231",2013,2,28,"MQ","LGA","BNA","early"
"232",2013,10,2,"US","LGA","CLT","early"
"233",2013,1,24,"EV","EWR","STL","on time"
"234",2013,12,4,"MQ","JFK","PIT","early"
"235",2013,8,22,"US","LGA","CLT","early"
"236",2013,8,17,"EV","EWR","MCI","early"
"237",2013,3,27,"EV","EWR","RIC","late"
"238",2013,8,27,"B6","JFK","BUF","early"
"239",2013,4,16,"EV","EWR","MEM","early"
"240",2013,5,3,"FL","LGA","CAK","late"
"241",2013,5,10,"UA","EWR","SEA","late"
"242",2013,5,27,"US","LGA","CLT","early"
"243",2013,12,18,"AA","LGA","DFW","early"
"244",2013,12,7,"WN","LGA","MDW","early"
"245",2013,6,7,"VX","JFK","LAS","on time"
"246",2013,8,16,"DL","JFK","ATL","early"
"247",2013,11,1,"MQ","EWR","ORD","early"
"248",2013,1,17,"MQ","EWR","ORD","late"
"249",2013,8,4,"US","LGA","CLT","early"
"250",2013,4,8,"UA","EWR","IAH","early"
"251",2013,8,27,"UA","LGA","IAH","early"
"252",2013,4,1,"DL","LGA","SRQ","early"
"253",2013,10,13,"EV","EWR","SAV","on time"
"254",2013,6,14,"B6","JFK","BUF","late"
"255",2013,12,25,"US","JFK","PHX","early"
"256",2013,3,24,"UA","JFK","LAX","early"
"257",2013,5,8,"AA","EWR","DFW","early"
"258",2013,9,17,"9E","JFK","MSP","early"
"259",2013,2,5,"US","LGA","BOS","late"
"260",2013,1,28,"DL","LGA","TPA","early"
"261",2013,5,5,"MQ","EWR","ORD","on time"
"262",2013,10,14,"UA","EWR","IAH","early"
"263",2013,9,3,"WN","LGA","MKE","late"
"264",2013,7,15,"UA","EWR","PHX","early"
"265",2013,6,24,"EV","EWR","MEM","on time"
"266",2013,7,5,"DL","LGA","ATL","early"
"267",2013,6,15,"UA","EWR","CLE","early"
"268",2013,4,2,"EV","EWR","SDF","late"
"269",2013,11,17,"B6","JFK","CHS","late"
"270",2013,6,15,"B6","JFK","CLT","early"
"271",2013,7,7,"DL","JFK","FLL","late"
"272",2013,3,22,"EV","EWR","STL","late"
"273",2013,10,6,"B6","JFK","ROC","late"
"274",2013,2,10,"UA","EWR","MCO","early"
"275",2013,5,30,"UA","EWR","PBI","late"
"276",2013,2,2,"DL","JFK","DTW","early"
"277",2013,5,23,"UA","EWR","DEN","early"
"278",2013,7,6,"EV","LGA","TVC","early"
"279",2013,3,13,"EV","EWR","STL","on time"
"280",2013,9,15,"EV","EWR","STL","on time"
"281",2013,11,7,"UA","EWR","SAT","late"
"282",2013,2,2,"UA","EWR","PBI","early"
"283",2013,7,26,"DL","LGA","MCO","on time"
"284",2013,5,28,"MQ","LGA","MSP","late"
"285",2013,12,23,"B6","LGA","RSW","late"
"286",2013,7,24,"DL","LGA","MIA","early"
"287",2013,3,27,"EV","EWR","CMH","early"
"288",2013,11,22,"DL","LGA","PBI","early"
"289",2013,5,29,"B6","LGA","FLL","early"
"290",2013,10,6,"UA","JFK","SFO","late"
"291",2013,10,25,"MQ","JFK","RDU","early"
"292",2013,12,31,"B6","JFK","MCO","late"
"293",2013,12,19,"DL","LGA","TPA","late"
"294",2013,12,10,"MQ","JFK","RDU","late"
"295",2013,10,14,"VX","EWR","SFO","early"
"296",2013,7,31,"EV","EWR","MCI","on time"
"297",2013,11,3,"B6","EWR","TPA","on time"
"298",2013,12,4,"EV","EWR","MEM","early"
"299",2013,2,15,"UA","EWR","MCO","on time"
"300",2013,3,19,"UA","JFK","SFO","late"
"301",2013,8,9,"UA","LGA","DEN","late"
"302",2013,11,16,"DL","EWR","ATL","on time"
"303",2013,9,15,"UA","EWR","LAS","late"
"304",2013,4,29,"MQ","LGA","ATL","early"
"305",2013,3,1,"MQ","LGA","RDU","on time"
"306",2013,8,12,"AA","JFK","MCO","late"
"307",2013,5,13,"EV","EWR","BUF","early"
"308",2013,1,22,"WN","LGA","DEN","early"
"309",2013,11,6,"EV","EWR","MSP","late"
"310",2013,1,20,"UA","JFK","SFO","late"
"311",2013,10,19,"B6","JFK","OAK","on time"
"312",2013,4,4,"UA","EWR","LAX","early"
"313",2013,9,9,"WN","LGA","MKE","on time"
"314",2013,8,27,"DL","EWR","ATL","early"
"315",2013,2,12,"UA","EWR","AUS","late"
"316",2013,6,24,"EV","EWR","BUF","early"
"317",2013,5,15,"EV","EWR","OMA","early"
"318",2013,10,2,"AA","LGA","ORD","early"
"319",2013,12,2,"UA","EWR","MIA","early"
"320",2013,12,14,"B6","JFK","FLL","late"
"321",2013,5,27,"B6","EWR","BOS","early"
"322",2013,8,18,"AA","LGA","STL","early"
"323",2013,11,4,"MQ","JFK","RDU","early"
"324",2013,9,27,"UA","EWR","DEN","early"
"325",2013,9,26,"EV","EWR","STL","early"
"326",2013,7,15,"DL","JFK","SFO","early"
"327",2013,12,1,"EV","EWR","CVG","late"
"328",2013,4,4,"AA","JFK","STT","early"
"329",2013,12,31,"DL","JFK","LAX","early"
"330",2013,5,17,"EV","EWR","PWM","late"
"331",2013,7,19,"AA","EWR","MIA","early"
"332",2013,12,23,"B6","JFK","BUF","early"
"333",2013,9,7,"F9","LGA","DEN","late"
"334",2013,10,12,"US","JFK","CLT","early"
"335",2013,4,19,"B6","JFK","MCO","on time"
"336",2013,5,4,"B6","JFK","LAX","late"
"337",2013,7,11,"B6","EWR","MCO","late"
"338",2013,2,19,"9E","JFK","RDU","late"
"339",2013,11,15,"B6","JFK","MCO","on time"
"340",2013,2,24,"DL","JFK","LAX","early"
"341",2013,8,16,"UA","EWR","BOS","early"
"342",2013,12,6,"AA","JFK","LAS","late"
"343",2013,4,30,"UA","EWR","IAH","late"
"344",2013,5,24,"DL","LGA","ATL","early"
"345",2013,8,21,"UA","EWR","SFO","early"
"346",2013,3,8,"WN","LGA","MKE","late"
"347",2013,3,31,"DL","JFK","SFO","early"
"348",2013,2,10,"DL","LGA","MSY","early"
"349",2013,9,4,"VX","JFK","LAX","early"
"350",2013,2,12,"DL","JFK","TPA","early"
"351",2013,1,15,"US","LGA","DCA","on time"
"352",2013,11,26,"UA","EWR","DFW","late"
"353",2013,8,30,"DL","JFK","FLL","early"
"354",2013,4,30,"UA","EWR","BOS","early"
"355",2013,7,5,"UA","EWR","LAX","early"
"356",2013,10,22,"WN","EWR","DEN","early"
"357",2013,1,28,"FL","LGA","CAK","on time"
"358",2013,8,18,"DL","JFK","SEA","early"
"359",2013,5,29,"MQ","LGA","RDU","early"
"360",2013,8,15,"UA","EWR","SFO","late"
"361",2013,10,26,"UA","JFK","SFO","early"
"362",2013,4,8,"MQ","LGA","BNA","early"
"363",2013,5,13,"WN","EWR","HOU","late"
"364",2013,8,23,"AA","LGA","ORD","early"
"365",2013,8,18,"MQ","LGA","RDU","late"
"366",2013,7,27,"AA","JFK","SFO","early"
"367",2013,6,16,"UA","EWR","DFW","late"
"368",2013,11,25,"US","LGA","CLT","early"
"369",2013,10,9,"MQ","LGA","CLE","on time"
"370",2013,8,18,"UA","EWR","BQN","early"
"371",2013,4,20,"UA","EWR","RSW","late"
"372",2013,11,13,"EV","EWR","DCA","early"
"373",2013,11,7,"9E","LGA","BNA","late"
"374",2013,12,21,"AA","JFK","EGE","late"
"375",2013,11,1,"UA","EWR","ORD","late"
"376",2013,11,30,"EV","EWR","GSP","early"
"377",2013,8,25,"B6","JFK","MSY","early"
"378",2013,1,14,"UA","EWR","LAX","late"
"379",2013,6,29,"WN","EWR","MDW","early"
"380",2013,10,1,"DL","JFK","MIA","early"
"381",2013,9,18,"EV","JFK","IAD","early"
"382",2013,3,15,"EV","EWR","ALB","late"
"383",2013,10,15,"EV","EWR","BNA","early"
"384",2013,3,26,"DL","JFK","SLC","early"
"385",2013,6,26,"MQ","JFK","RDU","early"
"386",2013,1,27,"UA","EWR","PBI","on time"
"387",2013,6,19,"AA","LGA","MIA","late"
"388",2013,4,30,"EV","EWR","BNA","late"
"389",2013,10,17,"EV","LGA","SAV","early"
"390",2013,8,13,"WN","LGA","MKE","on time"
"391",2013,4,22,"DL","JFK","MSY","late"
"392",2013,1,28,"WN","LGA","MDW","on time"
"393",2013,5,10,"DL","JFK","SFO","early"
"394",2013,9,7,"UA","EWR","BOS","early"
"395",2013,1,13,"UA","EWR","SFO","early"
"396",2013,10,20,"B6","JFK","BUF","early"
"397",2013,5,24,"US","LGA","PHL","late"
"398",2013,1,10,"9E","JFK","PIT","early"
"399",2013,12,15,"DL","JFK","LAX","early"
"400",2013,4,5,"EV","LGA","CVG","early"
"401",2013,9,12,"UA","EWR","MCO","early"
"402",2013,6,26,"EV","EWR","DCA","late"
"403",2013,2,22,"MQ","LGA","BNA","on time"
"404",2013,5,21,"DL","LGA","MCO","early"
"405",2013,12,6,"UA","JFK","SFO","late"
"406",2013,3,3,"WN","EWR","HOU","early"
"407",2013,5,1,"EV","LGA","CHS","on time"
"408",2013,3,22,"B6","LGA","FLL","late"
"409",2013,10,11,"MQ","JFK","CLE","early"
"410",2013,3,28,"EV","LGA","IAD","early"
"411",2013,6,8,"US","LGA","BOS","early"
"412",2013,8,27,"VX","JFK","LAX","early"
"413",2013,4,14,"EV","EWR","BDL","on time"
"414",2013,3,16,"DL","JFK","SJU","early"
"415",2013,8,31,"US","JFK","PHX","early"
"416",2013,9,23,"DL","JFK","LAX","early"
"417",2013,12,28,"UA","EWR","LAX","early"
"418",2013,7,16,"EV","EWR","DSM","early"
"419",2013,5,9,"UA","EWR","LAS","early"
"420",2013,5,9,"VX","JFK","SFO","late"
"421",2013,6,24,"EV","EWR","MKE","late"
"422",2013,1,16,"UA","EWR","FLL","on time"
"423",2013,8,1,"B6","JFK","LGB","late"
"424",2013,11,4,"AA","JFK","AUS","early"
"425",2013,4,9,"B6","JFK","BUF","early"
"426",2013,10,29,"AA","JFK","MIA","early"
"427",2013,10,31,"MQ","LGA","DTW","late"
"428",2013,5,22,"US","LGA","BOS","early"
"429",2013,3,4,"AA","JFK","FLL","early"
"430",2013,4,9,"DL","JFK","LAX","early"
"431",2013,10,3,"MQ","LGA","CLT","early"
"432",2013,12,29,"DL","EWR","DTW","late"
"433",2013,1,18,"B6","JFK","TPA","on time"
"434",2013,11,28,"EV","JFK","IAD","late"
"435",2013,2,17,"B6","JFK","BUF","on time"
"436",2013,10,1,"US","EWR","PHX","early"
"437",2013,5,1,"US","LGA","BOS","early"
"438",2013,1,12,"AA","LGA","STL","early"
"439",2013,1,1,"UA","EWR","PDX","on time"
"440",2013,12,12,"EV","EWR","MSN","late"
"441",2013,6,18,"AA","LGA","DFW","late"
"442",2013,3,12,"9E","JFK","BUF","early"
"443",2013,3,13,"DL","JFK","ATL","on time"
"444",2013,11,19,"DL","JFK","SFO","early"
"445",2013,1,21,"UA","EWR","PBI","late"
"446",2013,3,11,"B6","EWR","FLL","early"
"447",2013,11,20,"UA","LGA","CLE","late"
"448",2013,12,14,"AA","EWR","DFW","late"
"449",2013,2,15,"US","LGA","DCA","early"
"450",2013,3,29,"YV","LGA","IAD","late"
"451",2013,12,12,"B6","JFK","HOU","early"
"452",2013,7,26,"DL","JFK","LAS","early"
"453",2013,10,8,"MQ","JFK","CLE","early"
"454",2013,9,12,"AA","LGA","MIA","late"
"455",2013,4,15,"US","LGA","DCA","late"
"456",2013,8,14,"DL","JFK","SEA","early"
"457",2013,4,29,"AA","LGA","DFW","early"
"458",2013,4,18,"AA","JFK","LAX","late"
"459",2013,11,19,"DL","JFK","MIA","early"
"460",2013,10,14,"EV","LGA","CLT","late"
"461",2013,9,3,"B6","JFK","BUF","early"
"462",2013,7,9,"WN","EWR","MDW","late"
"463",2013,10,21,"B6","JFK","SAN","early"
"464",2013,12,12,"EV","LGA","SYR","on time"
"465",2013,3,19,"UA","EWR","MCO","late"
"466",2013,12,14,"US","LGA","CLT","late"
"467",2013,8,9,"US","LGA","DCA","early"
"468",2013,10,16,"MQ","LGA","DTW","early"
"469",2013,3,5,"EV","EWR","RIC","early"
"470",2013,3,23,"UA","JFK","LAX","late"
"471",2013,7,9,"9E","JFK","MSP","late"
"472",2013,7,5,"AA","LGA","ORD","early"
"473",2013,12,28,"B6","JFK","SMF","early"
"474",2013,5,16,"DL","JFK","PHX","early"
"475",2013,9,23,"B6","JFK","MCO","early"
"476",2013,9,26,"9E","LGA","MKE","early"
"477",2013,9,1,"DL","LGA","DTW","early"
"478",2013,8,27,"AA","LGA","DFW","early"
"479",2013,9,30,"VX","EWR","SFO","late"
"480",2013,3,21,"B6","JFK","BOS","early"
"481",2013,9,9,"WN","EWR","MDW","early"
"482",2013,11,26,"US","LGA","DCA","late"
"483",2013,2,3,"DL","JFK","SAN","early"
"484",2013,12,12,"B6","JFK","TPA","early"
"485",2013,9,11,"MQ","JFK","RDU","late"
"486",2013,5,3,"UA","EWR","TPA","early"
"487",2013,1,19,"EV","EWR","BUF","early"
"488",2013,1,1,"MQ","LGA","CMH","on time"
"489",2013,12,15,"DL","JFK","SJU","on time"
"490",2013,8,10,"US","LGA","CLT","early"
"491",2013,6,5,"AA","LGA","DFW","early"
"492",2013,3,3,"UA","LGA","IAH","early"
"493",2013,11,10,"UA","EWR","ORD","early"
"494",2013,4,18,"B6","EWR","BOS","late"
"495",2013,11,6,"EV","EWR","CHS","on time"
"496",2013,12,4,"US","LGA","BOS","early"
"497",2013,7,3,"US","EWR","PHX","early"
"498",2013,6,30,"US","LGA","BOS","late"
"499",2013,5,6,"US","LGA","BOS","early"
"500",2013,10,8,"AA","JFK","BOS","early"
"501",2013,3,18,"EV","EWR","OMA","early"
"502",2013,10,28,"EV","EWR","DAY","on time"
"503",2013,6,25,"DL","LGA","TPA","late"
"504",2013,9,24,"EV","EWR","CMH","early"
"505",2013,1,10,"EV","EWR","GRR","late"
"506",2013,12,7,"B6","JFK","RSW","early"
"507",2013,1,8,"DL","LGA","DTW","early"
"508",2013,1,21,"MQ","JFK","CMH","late"
"509",2013,7,31,"MQ","LGA","RDU","on time"
"510",2013,4,4,"DL","JFK","SLC","on time"
"511",2013,5,16,"B6","EWR","BOS","early"
"512",2013,4,8,"AA","JFK","MIA","late"
"513",2013,12,6,"B6","JFK","SAN","late"
"514",2013,8,5,"UA","EWR","BOS","early"
"515",2013,1,17,"EV","EWR","CHS","late"
"516",2013,1,15,"UA","EWR","DEN","on time"
"517",2013,11,7,"B6","JFK","LAS","early"
"518",2013,11,24,"B6","JFK","MCO","on time"
"519",2013,3,15,"DL","LGA","ATL","early"
"520",2013,4,19,"UA","EWR","PBI","late"
"521",2013,11,4,"B6","JFK","SJU","early"
"522",2013,9,15,"AA","JFK","LAS","early"
"523",2013,4,17,"UA","LGA","IAH","early"
"524",2013,2,26,"B6","JFK","LAX","early"
"525",2013,4,19,"EV","EWR","PWM","late"
"526",2013,12,25,"WN","LGA","STL","early"
"527",2013,3,19,"DL","JFK","SFO","on time"
"528",2013,12,3,"UA","EWR","PBI","late"
"529",2013,2,26,"UA","EWR","AUS","early"
"530",2013,5,24,"VX","JFK","LAX","late"
"531",2013,7,12,"UA","EWR","AUS","on time"
"532",2013,5,8,"B6","JFK","FLL","late"
"533",2013,3,29,"WN","LGA","DEN","early"
"534",2013,11,13,"9E","JFK","PIT","early"
"535",2013,4,24,"EV","EWR","MEM","on time"
"536",2013,2,18,"DL","JFK","SFO","late"
"537",2013,11,12,"9E","JFK","RIC","early"
"538",2013,8,19,"DL","LGA","MIA","early"
"539",2013,12,3,"B6","JFK","PBI","on time"
"540",2013,5,7,"B6","JFK","PBI","late"
"541",2013,9,24,"B6","JFK","BUF","on time"
"542",2013,10,15,"UA","EWR","MIA","early"
"543",2013,11,21,"UA","EWR","MIA","early"
"544",2013,9,11,"US","EWR","CLT","early"
"545",2013,11,29,"AA","LGA","DFW","early"
"546",2013,4,7,"B6","JFK","MCO","on time"
"547",2013,6,29,"UA","EWR","ORD","early"
"548",2013,11,27,"MQ","JFK","CVG","late"
"549",2013,11,25,"EV","LGA","GSO","early"
"550",2013,4,22,"WN","EWR","MSY","early"
"551",2013,10,2,"B6","JFK","BOS","early"
"552",2013,12,17,"UA","JFK","LAX","late"
"553",2013,3,26,"UA","EWR","PBI","on time"
"554",2013,7,4,"VX","JFK","SFO","early"
